,ID,A1,A2,A3,A4,A5,Score,Sentence_ID,Head,Tail,Head_tags,Tail_tags,Noun_pair,Head_noun_lemmatised,Tail_noun_lemmatised,Common_adjectives
0,14103__worth_9__free_5,1,1,1,0,0,0.369248292463,14103,free,worth,"{'ADV', 'ADJ', 'VERB'}","{'ADJ', 'NOUN'}",False,,,
1,4603__fretted_10__mother_16,3,3,2,2,0,1.43651294328,4603,fretted,mother,{'VERB'},"{'NOUN', 'VERB'}",False,,,
2,3706__attitudes_14__lax_12,3,3,2,1,0,0.994270517004,3706,lax,attitudes,{'ADJ'},{'NOUN'},False,,,
3,3098__settlement_14__achieve_12,2,1,1,0,0,0.378663300407,3098,achieve,settlement,{'VERB'},{'NOUN'},False,,,
4,716__mask_30__stripped_28,2,2,2,1,1,0.722122956036,716,stripped,mask,{'VERB'},"{'NOUN', 'VERB'}",False,,,
5,2692__time_3__round_4,2,2,1,1,1,0.676453364279,2692,time,round,"{'NOUN', 'VERB'}","{'ADJ', 'VERB', 'ADV', 'ADP', 'NOUN'}",True,time,round,set()
6,5410__stretched_9__ahead_10,2,2,1,1,0,0.702680041197,5410,ahead,stretched,{'ADV'},{'VERB'},False,,,
7,5595__shape_25__disguise_21,2,2,1,1,0,0.586667032238,5595,disguise,shape,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,disguise,shape,set()
8,8227__dramatic_24__warbling_25,3,3,3,3,3,1.99975326287,8227,dramatic,warbling,{'ADJ'},{'VERB'},False,,,
9,8147__fat_18__stale_16,3,2,2,0,0,0.65552776054,8147,stale,fat,{'ADJ'},"{'ADJ', 'NOUN'}",False,,,
10,1852__network_4__constructing_27,3,2,1,1,0,0.574426023537,1852,constructing,network,{'VERB'},{'NOUN'},False,,,
11,3576__social_24__malaise_27,3,3,3,2,0,1.1763296292,3576,social,malaise,"{'ADJ', 'NOUN'}",{'NOUN'},True,social,malaise,set()
12,8100__persuasion_6__soft_5,3,3,3,3,2,2.1107807518,8100,soft,persuasion,"{'ADV', 'ADJ'}",{'NOUN'},False,,,
