,ID,A1,A2,A3,A4,A5,Score,Sentence_ID,Head,Tail,Head_tags,Tail_tags,Noun_pair,Head_noun_lemmatised,Tail_noun_lemmatised,Common_adjectives
23,838__industry_17__image_19,2,1,1,1,1,0.660718485287,838,industry,image,{'NOUN'},{'NOUN'},True,industry,image,{'strong'}
26,6391__science_2__image_6,2,1,1,0,0,0.370467441431,6391,science,image,{'NOUN'},{'NOUN'},True,science,image,"{'sweet', 'bright', 'strong', 'soft', 'weak'}"
27,4569__potential_7__role_8,3,2,1,1,0,0.775984931547,4569,potential,role,"{'ADJ', 'NOUN'}",{'NOUN'},True,potential,role,{'clear'}
47,6198__competition_39__stages_44,1,1,0,0,0,0.253644859971,6198,competition,stages,{'NOUN'},{'NOUN'},True,competition,stage,{'bitter'}
50,3734__potential_19__fields_21,1,1,1,1,0,0.5087778781,3734,potential,fields,"{'ADJ', 'NOUN'}","{'NOUN', 'VERB'}",True,potential,field,{'clear'}
62,6613__history_42__reading_40,2,1,1,1,0,0.679489270806,6613,reading,history,"{'NOUN', 'VERB'}",{'NOUN'},True,reading,history,"{'brilliant', 'bright', 'strong'}"
67,1892__independence_13__form_10,3,2,2,2,1,1.46764838585,1892,form,independence,"{'NOUN', 'VERB'}",{'NOUN'},True,form,independence,{'dim'}
85,6263__action_10__guide_8,2,2,1,1,1,0.752053611669,6263,action,guide,{'NOUN'},"{'NOUN', 'VERB'}",True,action,guide,"{'brilliant', 'rough'}"
91,7032__parliament_10__advances_8,1,1,1,0,0,0.392593240199,7032,parliament,advances,{'NOUN'},"{'NOUN', 'VERB'}",True,parliament,advance,{'strong'}
95,6383__choice_3__subject_2,1,1,0,0,0,0.326809561647,6383,subject,choice,"{'ADJ', 'NOUN', 'VERB'}","{'ADJ', 'NOUN'}",True,subject,choice,{'bright'}
115,7117__marble_18__floor_21,3,2,1,1,1,0.847864367396,7117,marble,floor,{'NOUN'},{'NOUN'},True,marble,floor,"{'solid', 'cold'}"
121,2557__penalty_16__calculations_21,2,1,1,1,0,0.627733779924,2557,penalty,calculations,{'NOUN'},{'NOUN'},True,penalty,calculation,{'cold'}
135,4893__smile_2__spread_3,3,2,2,1,1,0.967448203496,4893,smile,spread,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,smile,spread,{'sweet'}
154,3730__fields_27__application_26,2,1,0,0,0,0.301043965765,3730,application,fields,{'NOUN'},"{'NOUN', 'VERB'}",True,application,field,{'smooth'}
155,6848__childhood_20__training_15,2,2,2,1,0,0.61000931778,6848,training,childhood,"{'NOUN', 'VERB'}",{'NOUN'},True,training,childhood,{'rough'}
164,859__switch_22__shadow_27,3,2,0,0,0,0.440528701333,859,switch,shadow,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,switch,shadow,{'dim'}
191,3636__riots_23__responses_19,1,1,1,0,0,0.490199202264,3636,responses,riots,{'NOUN'},{'NOUN'},True,response,riot,{'heavy'}
208,1852__programmes_54__resistance_53,3,3,2,2,1,1.56641359421,1852,resistance,programmes,"{'X', 'NOUN'}",{'NOUN'},True,resistance,programme,{'heavy'}
248,3591__policy_3__roots_7,2,2,0,0,0,0.377115042166,3591,policy,roots,{'NOUN'},{'NOUN'},True,policy,root,"{'bitter', 'weak'}"
294,1469__debt_12__ceiling_13,3,3,1,1,1,0.941643757502,1469,debt,ceiling,{'NOUN'},{'NOUN'},True,debt,ceiling,{'heavy'}
308,5387__soup_16__heart_13,3,0,0,0,0,0.164865379166,5387,heart,soup,{'NOUN'},{'NOUN'},True,heart,soup,"{'warm', 'sweet', 'cold'}"
316,14068__change_27__feel_15,1,1,1,0,0,0.378663300407,14068,feel,change,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,feel,change,{'smooth'}
324,6852__child_13__stage_16,1,0,0,0,0,0.166055434504,6852,child,stage,{'NOUN'},"{'NOUN', 'VERB'}",True,child,stage,"{'cold', 'warm', 'bitter'}"
363,6220__information_19__support_20,1,1,1,0,0,0.442593240199,6220,information,support,{'NOUN'},"{'NOUN', 'VERB'}",True,information,support,"{'clear', 'shallow', 'soft'}"
366,503__day_36__gifts_30,1,0,0,0,0,0.141048442678,503,gifts,day,{'NOUN'},{'NOUN'},True,gift,day,{'sweet'}
380,3748__management_15__role_11,3,2,1,1,0,0.752053611669,3748,role,management,{'NOUN'},{'NOUN'},True,role,management,"{'brilliant', 'clear', 'strong'}"
383,6437__boys_12__image_19,1,1,1,0,0,0.42009199744,6437,boys,image,{'NOUN'},{'NOUN'},True,boy,image,"{'sweet', 'bright'}"
388,1751__temptation_13__feeds_11,3,3,2,1,0,1.31852613862,1751,feeds,temptation,"{'NOUN', 'VERB'}",{'NOUN'},True,feed,temptation,{'sweet'}
392,133__music_12__access_6,1,1,0,0,0,0.310352210255,133,music,access,{'NOUN'},{'NOUN'},True,music,access,{'smooth'}
411,2553__safety_17__contribution_14,1,1,0,0,0,0.253644859971,2553,contribution,safety,{'NOUN'},{'NOUN'},True,contribution,safety,{'clear'}
420,4482__risk_20__assessments_21,2,2,1,1,0,0.663597914864,4482,risk,assessments,"{'NOUN', 'VERB'}",{'NOUN'},True,risk,assessment,{'clear'}
429,3147__aims_9__support_11,1,1,1,0,0,0.345667669999,3147,support,aims,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,support,aim,{'deep'}
431,1847__economies_19__home_18,3,2,1,1,0,0.778790002764,1847,home,economies,"{'NOUN', 'VERB'}",{'NOUN'},True,home,economy,"{'heated', 'rough', 'clean'}"
439,1875__lies_3__message_7,1,1,1,1,0,0.504554630774,1875,lies,message,"{'NOUN', 'VERB'}",{'NOUN'},True,lie,message,"{'sweet', 'soft'}"
451,1938__employment_23__return_20,2,2,1,0,0,0.314008933448,1938,return,employment,"{'ADJ', 'NOUN', 'VERB'}",{'NOUN'},True,return,employment,"{'solid', 'strong', 'soft'}"
454,1974__stables_33__stages_45,2,1,1,0,0,0.417126883904,1974,stables,stages,{'NOUN'},{'NOUN'},True,stable,stage,{'warm'}
457,7058__advances_12__attitudes_39,3,2,1,0,0,0.371140501508,7058,advances,attitudes,"{'NOUN', 'VERB'}",{'NOUN'},True,advance,attitude,{'brilliant'}
484,841__presence_3__seats_13,1,0,0,0,0,0.166055434504,841,seats,presence,{'NOUN'},{'NOUN'},True,seat,presence,{'warm'}
487,2829__beds_9__block_6,1,0,0,0,0,0.203481758992,2829,block,beds,"{'NOUN', 'VERB'}",{'NOUN'},True,block,bed,{'cold'}
498,4989__voice_14__action_9,2,2,1,0,0,0.37887653234,4989,voice,action,{'NOUN'},{'NOUN'},True,voice,action,{'rough'}
526,1393__suggestion_15__loss_17,2,2,2,0,0,0.618594879928,1393,suggestion,loss,{'NOUN'},{'NOUN'},True,suggestion,loss,{'clear'}
540,681__evidence_19__supports_20,3,2,1,1,1,0.711724791553,681,evidence,supports,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,evidence,support,"{'deep', 'clear'}"
547,7019__views_19__strategy_2,1,0,0,0,0,0.161833212282,7019,views,strategy,"{'NOUN', 'VERB'}",{'NOUN'},True,view,strategy,{'clear'}
549,3736__information_34__handling_35,1,1,1,1,1,0.611621982927,3736,information,handling,{'NOUN'},"{'NOUN', 'VERB'}",True,information,handling,{'brilliant'}
563,6303__play_18__role_21,2,2,1,1,0,0.679489270806,6303,play,role,"{'NOUN', 'VERB'}",{'NOUN'},True,play,role,"{'brilliant', 'rough'}"
604,3518__spirit_55__sense_45,2,2,0,0,0,0.318980149882,3518,sense,spirit,"{'NOUN', 'VERB'}",{'NOUN'},True,sense,spirit,"{'bright', 'strong'}"
607,6365__girl_3__situation_9,2,1,0,0,0,0.310150501857,6365,girl,situation,{'NOUN'},{'NOUN'},True,girl,situation,{'rough'}
608,4491__metal_46__plants_48,2,1,0,0,0,0.330259383903,4491,metal,plants,{'NOUN'},{'NOUN'},True,metal,plant,"{'heated', 'bright'}"
621,6428__change_5__attitudes_9,1,1,1,0,0,0.375810971696,6428,change,attitudes,"{'NOUN', 'VERB'}",{'NOUN'},True,change,attitude,"{'deep', 'clear'}"
624,2533__crimes_20__elements_25,2,1,1,1,0,0.662852827543,2533,crimes,elements,{'NOUN'},{'NOUN'},True,crime,element,{'heavy'}
625,6362__expression_8__regard_5,3,2,2,2,1,1.42373093361,6362,regard,expression,"{'NOUN', 'VERB'}",{'NOUN'},True,regard,expression,{'warm'}
628,198__sport_2__sources_13,2,0,0,0,0,0.203481758992,198,sources,sport,{'NOUN'},{'NOUN'},True,source,sport,{'bright'}
637,6469__systems_25__barriers_21,2,2,1,1,0,0.566915140275,6469,barriers,systems,{'NOUN'},{'NOUN'},True,barrier,system,{'dense'}
648,1260__success_12__eye_9,2,2,2,0,0,0.751020953701,1260,success,eye,{'NOUN'},{'NOUN'},True,success,eye,{'bright'}
673,1247__light_10__regard_5,1,1,1,1,0,0.594706106907,1247,light,regard,"{'ADJ', 'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,light,regard,{'warm'}
676,6447__beginning_22__action_25,1,1,1,0,0,0.38252384674,6447,beginning,action,"{'NOUN', 'VERB'}",{'NOUN'},True,beginning,action,"{'brilliant', 'rough'}"
679,13765__weeks_9__running_5,2,2,1,0,0,0.368612776806,13765,running,weeks,"{'NOUN', 'VERB'}",{'NOUN'},True,running,week,{'rough'}
695,1285__appeal_10__parallels_7,2,1,1,0,0,0.405128379649,1285,appeal,parallels,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,appeal,parallel,"{'clear', 'strong'}"
696,3151__challenge_8__aim_2,1,1,0,0,0,0.305548836532,3151,aim,challenge,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,aim,challenge,{'deep'}
697,6417__definition_22__challenge_20,2,2,1,1,1,0.752053611669,6417,challenge,definition,"{'NOUN', 'VERB'}",{'NOUN'},True,challenge,definition,{'clear'}
703,3129__task_10__fighting_4,3,1,1,0,0,0.35905521313,3129,task,fighting,{'NOUN'},"{'NOUN', 'VERB'}",True,task,fighting,{'heavy'}
737,4580__green_7__light_6,2,1,1,1,1,0.641717981073,4580,light,green,"{'ADJ', 'NOUN', 'VERB'}","{'ADJ', 'NOUN'}",True,light,green,"{'brilliant', 'murky', 'bright'}"
764,3636__official_18__responses_19,1,1,1,1,1,0.639191860351,3636,official,responses,"{'ADJ', 'NOUN'}",{'NOUN'},True,official,response,{'soft'}
767,3197__discussions_28__materials_7,2,0,0,0,0,0.161833212282,3197,discussions,materials,{'NOUN'},{'NOUN'},True,discussion,material,"{'heated', 'heavy', 'clear', 'smooth'}"
774,3195__contract_3__standard_2,2,1,1,0,0,0.407857499647,3195,standard,contract,"{'ADJ', 'NOUN'}","{'NOUN', 'VERB'}",True,standard,contract,{'clear'}
785,6295__replacements_22__deal_18,2,1,1,1,1,0.682883394413,6295,deal,replacements,"{'NOUN', 'VERB'}",{'NOUN'},True,deal,replacement,{'weak'}
790,3726__actions_40__reaction_35,3,2,1,0,0,0.46200457976,3726,reaction,actions,{'NOUN'},{'NOUN'},True,reaction,action,{'brilliant'}
794,3214__aims_26__support_29,2,1,1,1,0,0.640763024991,3214,aims,support,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,aim,support,{'deep'}
800,1082__progress_16__canyon_27,3,1,1,0,0,0.397260998989,1082,progress,canyon,"{'NOUN', 'VERB'}",{'NOUN'},True,progress,canyon,{'shallow'}
803,873__items_4__charm_6,3,2,1,1,0,0.740584122306,873,items,charm,{'NOUN'},"{'NOUN', 'VERB'}",True,item,charm,{'warm'}
805,7499__touches_2__support_7,2,2,1,0,0,0.539707761487,7499,touches,support,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,touch,support,{'soft'}
822,6550__issues_44__look_41,1,1,1,1,0,0.504554630774,6550,look,issues,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,look,issue,{'bitter'}
830,5569__leather_17__affair_18,3,3,3,2,0,1.38755418878,5569,leather,affair,{'NOUN'},{'NOUN'},True,leather,affair,"{'heated', 'heavy'}"
854,4552__result_15__operations_18,1,1,1,0,0,0.391318173743,4552,result,operations,"{'NOUN', 'VERB'}",{'NOUN'},True,result,operation,"{'brilliant', 'murky'}"
860,1551__visit_12__air_7,2,1,1,1,0,0.627733779924,1551,visit,air,"{'NOUN', 'VERB'}",{'NOUN'},True,visit,air,{'smooth'}
863,2645__approach_3__frame_6,2,2,2,1,0,0.620907832321,2645,approach,frame,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,approach,frame,{'solid'}
871,2646__indifference_18__extreme_17,3,3,2,2,1,1.28557683635,2646,extreme,indifference,"{'ADJ', 'NOUN'}",{'NOUN'},True,extreme,indifference,{'icy'}
872,1768__demand_46__cut_44,2,1,1,1,1,0.682883394413,1768,cut,demand,"{'NOUN', 'VERB'}","{'NOUN', 'VERB'}",True,cut,demand,{'clear'}
888,5847__planet_18__path_14,3,3,3,3,0,1.76530348477,5847,path,planet,{'NOUN'},{'NOUN'},True,path,planet,{'icy'}
904,1869__struggle_2__revolution_5,3,2,1,0,0,0.46200457976,1869,struggle,revolution,"{'NOUN', 'VERB'}",{'NOUN'},True,struggle,revolution,{'bitter'}
919,11201__start_5__tricks_4,1,1,0,0,0,0.412824362787,11201,tricks,start,{'NOUN'},"{'NOUN', 'VERB'}",True,trick,start,{'brilliant'}
961,1795__companies_7__rose_14,2,2,1,1,0,0.702680041197,1795,rose,companies,"{'ADJ', 'NOUN', 'VERB'}",{'NOUN'},True,rose,company,{'bright'}
979,1521__service_17__run_14,2,1,1,1,1,0.63916045069,1521,run,service,"{'NOUN', 'VERB'}","{'X', 'NOUN', 'VERB'}",True,run,service,"{'brilliant', 'smooth'}"
988,6472__looks_4__section_3,1,1,1,0,0,0.473636707094,6472,section,looks,"{'X', 'NOUN'}","{'NOUN', 'VERB'}",True,section,look,{'icy'}
