,Unnamed: 0,LineText,Intersection_Words,Intersection_count,Head_tail,Relations
0,1,from fairest creatures we desire increase ,increase|desire,2,"('desire', 'increase')","['sweet', 'solid', 'strong', 'murky', 'weak', 'heavy', 'soft', 'warm', 'bright', 'smooth']"
1,6,feed st thy light s flame with self substantial fuel ,feed|light,2,"('feed', 'light')","['soft', 'murky', 'cold', 'weak', 'rough', 'solid', 'bitter', 'shallow', 'clear', 'strong']"
2,9,thou that art now the world s fresh ornament ,art|world,2,"('art', 'world')","['heavy', 'strong', 'icy', 'clear', 'bitter', 'weak', 'bright', 'smooth', 'murky', 'clean']"
3,25,if thou couldst answer  this fair child of mine,answer|child,2,"('answer', 'child')","['shallow', 'rough', 'strong', 'cold', 'bright', 'warm', 'clear', 'murky', 'weak', 'clean']"
4,29,    and see thy blood warm when thou feel st it cold ,cold|feel|blood,3,,
5,32,now is the time that face should form another ,form|time,2,"('time', 'form')","['strong', 'solid', 'heavy', 'heated', 'warm', 'dim', 'clear', 'weak', 'bright', 'bitter']"
6,34,thou dost beguile the world  unbless some mother ,mother|world,2,"('world', 'mother')","['rough', 'warm', 'brilliant', 'shallow', 'strong', 'cold', 'bitter', 'murky', 'heavy', 'bright']"
7,39,thou art thy mother s glass and she in thee,art|mother,2,"('art', 'mother')","['bitter', 'heavy', 'strong', 'bright', 'clear', 'murky', 'icy', 'rough', 'shallow', 'weak']"
8,92,lifts up his burning head  each under eye,head|eye,2,"('head', 'eye')","['dense', 'rough', 'solid', 'soft', 'murky', 'bitter', 'bright', 'warm', 'strong', 'brilliant']"
9,116,resembling sire and child and happy mother ,mother|child,2,"('child', 'mother')","['clear', 'bitter', 'heavy', 'brilliant', 'strong', 'weak', 'clean', 'shallow', 'warm', 'rough']"
10,128,by children s eyes  her husband s shape in mind ,mind|shape,2,"('shape', 'mind')","['strong', 'heavy', 'murky', 'bright', 'bitter', 'warm', 'clear', 'brilliant', 'rough', 'cold']"
11,129,look  what an unthrift in the world doth spend,look|world,2,"('look', 'world')","['bitter', 'clear', 'bright', 'brilliant', 'strong', 'clean', 'murky', 'heavy', 'rough', 'weak']"
12,144,o  change thy thought  that i may change my mind ,mind|change,2,"('change', 'mind')","['clear', 'rough', 'soft', 'brilliant', 'cold', 'shallow', 'strong', 'bitter', 'weak', 'warm']"
13,154,thou mayst call thine when thou from youth convertest ,call|youth,2,"('call', 'youth')","['cold', 'warm', 'bright', 'shallow', 'brilliant', 'soft', 'murky', 'rough', 'heavy', 'strong']"
14,166,when i do count the clock that tells the time ,count|time,2,"('count', 'time')","['strong', 'clear', 'weak', 'brilliant', 'bright', 'clean', 'murky', 'shallow', 'warm', 'soft']"
15,167,and see the brave day sunk in hideous night ,night|day,2,"('day', 'night')","['smooth', 'icy', 'fat', 'mad', 'weak', 'clear', 'clean', 'solid', 'bright', 'strong']"
